grupo,pos,bandera,nombre
A,0,🇲🇽,México
A,1,🇿🇦,Sudáfrica
A,2,🇰🇷,Corea del Sur
A,3,🇨🇿,Rep. Checa
B,0,🇨🇦,Canadá
B,1,🇧🇦,Bosnia-Herz.
B,2,🇶🇦,Catar
B,3,🇨🇭,Suiza
C,0,🇧🇷,Brasil
C,1,🇲🇦,Marruecos
C,2,🇭🇹,Haití
C,3,🏴󠁧󠁢󠁳󠁣󠁴󠁿,Escocia
D,0,🇺🇸,EE.UU.
D,1,🇵🇾,Paraguay
D,2,🇦🇺,Australia
D,3,🇹🇷,Turquía
E,0,🇩🇪,Alemania
E,1,🇨🇼,Curazao
E,2,🇨🇮,Costa Marfil
E,3,🇪🇨,Ecuador
F,0,🇳🇱,Países Bajos
F,1,🇯🇵,Japón
F,2,🇸🇪,Suecia
F,3,🇹🇳,Túnez
G,0,🇧🇪,Bélgica
G,1,🇪🇬,Egipto
G,2,🇮🇷,Irán
G,3,🇳🇿,Nueva Zelanda
H,0,🇪🇸,España
H,1,🇨🇻,Cabo Verde
H,2,🇸🇦,Arabia S.
H,3,🇺🇾,Uruguay
I,0,🇫🇷,Francia
I,1,🇸🇳,Senegal
I,2,🇮🇶,Irak
I,3,🇳🇴,Noruega
J,0,🇦🇷,Argentina
J,1,🇩🇿,Argelia
J,2,🇦🇹,Austria
J,3,🇯🇴,Jordania
K,0,🇵🇹,Portugal
K,1,🇨🇩,RD Congo
K,2,🇺🇿,Uzbekistán
K,3,🇨🇴,Colombia
L,0,🏴󠁧󠁢󠁥󠁮󠁧󠁿,Inglaterra
L,1,🇭🇷,Croacia
L,2,🇬🇭,Ghana
L,3,🇵🇦,Panamá
